X10_NTHREADS:4
X10_NPLACES:1
Place(0) running on 4693@Archlinux, finishCount:0, totalCount:40000
working...(19,12), at Place(0), workerId:5, result:0, cost time:0ms
working...(6,17), at Place(0), workerId:3, result:9, cost time:0ms
working...(19,13), at Place(0), workerId:5, result:0, cost time:0ms
working...(19,14), at Place(0), workerId:5, result:0, cost time:0ms
working...(16,18), at Place(0), workerId:3, result:0, cost time:0ms
working...(19,15), at Place(0), workerId:5, result:0, cost time:0ms
working...(19,16), at Place(0), workerId:5, result:0, cost time:0ms
working...(19,17), at Place(0), workerId:5, result:0, cost time:0ms
working...(5,16), at Place(0), workerId:3, result:11, cost time:0ms
working...(15,18), at Place(0), workerId:1, result:3, cost time:0ms
working...(4,15), at Place(0), workerId:3, result:11, cost time:0ms
working...(5,17), at Place(0), workerId:6, result:12, cost time:0ms
working...(19,18), at Place(0), workerId:5, result:0, cost time:0ms
working...(19,19), at Place(0), workerId:5, result:0, cost time:0ms
working...(20,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(20,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(14,18), at Place(0), workerId:3, result:4, cost time:0ms
working...(18,19), at Place(0), workerId:1, result:1, cost time:0ms
working...(20,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(13,18), at Place(0), workerId:6, result:5, cost time:0ms
working...(4,16), at Place(0), workerId:3, result:12, cost time:0ms
working...(20,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(20,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(17,19), at Place(0), workerId:1, result:2, cost time:0ms
working...(3,15), at Place(0), workerId:3, result:12, cost time:0ms
working...(16,19), at Place(0), workerId:6, result:3, cost time:0ms
working...(20,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,18), at Place(0), workerId:1, result:6, cost time:0ms
working...(3,16), at Place(0), workerId:3, result:13, cost time:0ms
working...(20,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(4,17), at Place(0), workerId:1, result:13, cost time:0ms
working...(20,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,15), at Place(0), workerId:3, result:13, cost time:0ms
working...(3,17), at Place(0), workerId:6, result:14, cost time:0ms
working...(20,8), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,19), at Place(0), workerId:3, result:4, cost time:0ms
working...(20,9), at Place(0), workerId:5, result:0, cost time:0ms
working...(14,19), at Place(0), workerId:6, result:5, cost time:0ms
working...(2,16), at Place(0), workerId:1, result:14, cost time:0ms
working...(20,10), at Place(0), workerId:5, result:0, cost time:0ms
working...(11,18), at Place(0), workerId:3, result:7, cost time:0ms
working...(1,15), at Place(0), workerId:1, result:14, cost time:0ms
working...(20,11), at Place(0), workerId:5, result:0, cost time:0ms
working...(13,19), at Place(0), workerId:6, result:6, cost time:0ms
working...(20,12), at Place(0), workerId:5, result:0, cost time:0ms
working...(20,13), at Place(0), workerId:5, result:0, cost time:0ms
working...(2,17), at Place(0), workerId:6, result:15, cost time:0ms
working...(20,14), at Place(0), workerId:5, result:0, cost time:0ms
working...(20,15), at Place(0), workerId:5, result:0, cost time:0ms
working...(10,18), at Place(0), workerId:6, result:8, cost time:0ms
working...(20,16), at Place(0), workerId:5, result:0, cost time:0ms
working...(20,17), at Place(0), workerId:5, result:0, cost time:0ms
working...(20,18), at Place(0), workerId:5, result:0, cost time:0ms
working...(20,19), at Place(0), workerId:5, result:0, cost time:0ms
working...(12,19), at Place(0), workerId:1, result:7, cost time:0ms
working...(20,20), at Place(0), workerId:5, result:0, cost time:0ms
working...(21,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(21,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(19,20), at Place(0), workerId:6, result:1, cost time:0ms
working...(11,19), at Place(0), workerId:3, result:8, cost time:0ms
working...(1,16), at Place(0), workerId:1, result:15, cost time:0ms
working...(1,17), at Place(0), workerId:6, result:14, cost time:0ms
working...(21,2), at Place(0), workerId:5, result:0, cost time:0ms
working...(18,20), at Place(0), workerId:6, result:2, cost time:0ms
working...(0,15), at Place(0), workerId:1, result:15, cost time:0ms
working...(10,19), at Place(0), workerId:6, result:9, cost time:0ms
working...(21,3), at Place(0), workerId:5, result:0, cost time:0ms
working...(21,4), at Place(0), workerId:5, result:0, cost time:0ms
working...(9,18), at Place(0), workerId:1, result:9, cost time:0ms
working...(21,5), at Place(0), workerId:5, result:0, cost time:0ms
working...(0,16), at Place(0), workerId:3, result:16, cost time:0ms
working...(9,19), at Place(0), workerId:6, result:10, cost time:0ms
working...(21,6), at Place(0), workerId:5, result:0, cost time:0ms
working...(17,20), at Place(0), workerId:3, result:3, cost time:0ms
working...(21,7), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,18), at Place(0), workerId:6, result:10, cost time:0ms
working...(21,8), at Place(0), workerId:5, result:0, cost time:0ms
working...(21,9), at Place(0), workerId:5, result:0, cost time:0ms
working...(21,10), at Place(0), workerId:5, result:0, cost time:0ms
working...(21,11), at Place(0), workerId:5, result:0, cost time:0ms
working...(0,17), at Place(0), workerId:3, result:15, cost time:0ms
working...(21,12), at Place(0), workerId:5, result:0, cost time:0ms
working...(21,13), at Place(0), workerId:5, result:0, cost time:0ms
working...(21,14), at Place(0), workerId:5, result:0, cost time:0ms
working...(16,20), at Place(0), workerId:3, result:4, cost time:0ms
working...(21,15), at Place(0), workerId:5, result:0, cost time:0ms
working...(15,20), at Place(0), workerId:1, result:5, cost time:0ms
working...(14,20), at Place(0), workerId:6, result:4, cost time:0ms
working...(21,16), at Place(0), workerId:5, result:0, cost time:0ms
working...(8,19), at Place(0), workerId:3, result:11, cost time:0ms
working...(21,17), at Place(0), workerId:5, result:0, cost time:0ms
working...(21,18), at Place(0), workerId:5, result:0, cost time:0ms
working...(13,20), at Place(0), workerId:1, result:7, cost time:0ms
working...(7,18), at Place(0), workerId:3, result:11, cost time:0ms
working...(12,20), at Place(0), workerId:6, result:8, cost time:0ms
working...(21,19), at Place(0), workerId:5, result:0, cost time:0ms
working...(21,20), at Place(0), workerId:5, result:0, cost time:0ms
working...(21,21), at Place(0), workerId:5, result:0, cost time:0ms
working...(11,20), at Place(0), workerId:3, result:9, cost time:0ms
working...(22,0), at Place(0), workerId:5, result:0, cost time:0ms
working...(22,1), at Place(0), workerId:5, result:0, cost time:0ms
working...(20,21), at Place(0), workerId:1, result:1, cost time:0ms
working...(7,19), at Place(0), workerId:3, result:12, cost time:0ms
working...(19,21), at Place(0), workerId:6, result:2, cost time:0ms
